,Titles,Release Year,Duration,Images,Description,Imdb Rating
211,212. Logan,2017,2017,"https://m.media-amazon.com/images/M/MV5BM2JjODdkMGMtNmY2YS00OGM2LThiY2YtZGYyNzE4Nzc2ODA0XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg","In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",8.1 (866K)
212,213. Rocky,1976,1976,"https://m.media-amazon.com/images/M/MV5BZDEyY2M2MGMtYjg5OC00ZWFjLWFkZDQtNmQzZTdiYmYzZTBkXkEyXkFqcGc@._V1_QL75_UX140_CR0,3,140,207_.jpg",A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,8.1 (644K)
213,214. Tokyo Story,1953,1953,"https://m.media-amazon.com/images/M/MV5BODdkNzcxZjItMDU2Yy00Y2JlLWFkYTQtNzIwM2Q4MWU5MTU2XkEyXkFqcGc@._V1_QL75_UY207_CR2,0,140,207_.jpg","An old couple visit their children and grandchildren in the city, but receive little attention.",8.1 (71K)
214,215. The Big Lebowski,1998,1998,"https://m.media-amazon.com/images/M/MV5BY2E3OWQ5OWYtYTRkMC00NjVjLWIzZDQtNmRmM2ZiYTIyYmYxXkEyXkFqcGc@._V1_QL75_UY207_CR0,0,140,207_.jpg","Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",8.1 (875K)
215,216. The Seventh Seal,1957,1957,"https://m.media-amazon.com/images/M/MV5BZDlmYTkzOWUtODQ0MS00MmM4LWE3ZjMtYTEwNGUwMmJkYzIxXkEyXkFqcGc@._V1_QL75_UY207_CR1,0,140,207_.jpg","A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",8.1 (203K)
216,217. Room,2015,2015,"https://m.media-amazon.com/images/M/MV5BMjE4NzgzNzEwMl5BMl5BanBnXkFtZTgwMTMzMDE0NjE@._V1_QL75_UX140_CR0,0,140,207_.jpg","A little boy is held captive in a room with his mother since his birth, so he has never known the world outside.",8.1 (460K)
217,218. Spotlight,2015,2015,"https://m.media-amazon.com/images/M/MV5BMjIyOTM5OTIzNV5BMl5BanBnXkFtZTgwMDkzODE2NjE@._V1_QL75_UY207_CR0,0,140,207_.jpg","The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",8.1 (510K)
218,219. The Terminator,1984,1984,"https://m.media-amazon.com/images/M/MV5BZmE0YzIxM2QtMGNlMi00MjRmLWE3MWMtOWQzMGVjMmU0YTFmXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",A cyborg assassin from the future attempts to find and kill a young woman who is destined to give birth to a warrior who will lead a resistance to save humankind from extinction.,8.1 (945K)
219,220. Hotel Rwanda,2004,2004,"https://m.media-amazon.com/images/M/MV5BY2FmMWRmZmQtN2IzMS00OGVmLWFmNjktMTM0YWQzODcwYTEwXkEyXkFqcGc@._V1_QL75_UY207_CR0,0,140,207_.jpg","Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",8.1 (378K)
220,221. Platoon,1986,1986,"https://m.media-amazon.com/images/M/MV5BZjE4YjllODAtZGMxZS00Mjg2LThkOWUtZjNkMjQ5YThiNDU4XkEyXkFqcGc@._V1_QL75_UX140_CR0,6,140,207_.jpg","Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",8.1 (447K)
221,222. Pirates of the Caribbean: The Curse of the Black Pearl,2003,2003,"https://m.media-amazon.com/images/M/MV5BNDhlMzEyNzItMTA5Mi00YWRhLThlNTktYTQyMTA0MDIyNDEyXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg","Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save Elizabeth Swann, the governor's daughter and his love, from Jack's former pirate allies, who are now undead.",8.1 (1.2M)
222,223. La haine,1995,1995,"https://m.media-amazon.com/images/M/MV5BMThlMDA3NDYtZGM2Zi00NmJhLThlYWItZjViZTkzZWU1ZWRiXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",24 hours in the lives of three young men in the French suburbs the day after a violent riot.,8.1 (203K)
223,224. Before Sunset,2004,2004,"https://m.media-amazon.com/images/M/MV5BMTQ1MjAwNTM5Ml5BMl5BanBnXkFtZTYwNDM0MTc3._V1_QL75_UY207_CR0,0,140,207_.jpg","Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",8.1 (295K)
224,225. Jai Bhim,2021,2021,"https://m.media-amazon.com/images/M/MV5BZjEyNDIzNmEtMjdkYS00ZDAwLTljOWYtNDRhYTVhYTlmOTk1XkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg","When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.",8.7 (221K)
225,226. The Passion of Joan of Arc,1928,1928,"https://m.media-amazon.com/images/M/MV5BNTE1MDliZjgtYTU2Yy00YjAxLTljYTItNDE2ZGYwYTY1MGQ1XkEyXkFqcGc@._V1_QL75_UX140_CR0,6,140,207_.jpg","In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",8.1 (62K)
226,227. The Best Years of Our Lives,1946,1946,"https://m.media-amazon.com/images/M/MV5BNTgxMzUyODQtMDJmZC00ZGMyLWI3MzAtZTYwYjBjZjFmMzIxXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg","Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed.",8.1 (72K)
227,228. A Man Escaped,1956,1956,"https://m.media-amazon.com/images/M/MV5BMTY2YmIzMTQtOTk3OS00Yzg3LTliMTgtNmM5OGY2NzFjMmMwXkEyXkFqcGc@._V1_QL75_UY207_CR14,0,140,207_.jpg",A captured French Resistance fighter during World War II engineers a daunting escape from a German prison in France.,8.2 (26K)
228,229. The Exorcist,1973,1973,"https://m.media-amazon.com/images/M/MV5BZjg3YjE4ZjAtYTdmYS00ZTBkLWE1ZjgtNzAzODUwNzRiYjlmXkEyXkFqcGc@._V1_QL75_UX140_CR0,3,140,207_.jpg","When a mysterious entity possesses a young girl, her mother seeks the help of two Catholic priests to save her life.",8.1 (467K)
